철도운영기관명,선명,역명,휠체어리프트의 관리번호,출입구번호,상세위치,길이,폭,시작층,종료층
서울교통공사,1호선,서울역,1,,(B2)내부 C 계단,125,80,지하2층,지하1층
서울교통공사,1호선,신설동,1,,(F1)6번 출입구,125,80,지상1층,지하1층
서울교통공사,1호선,신설동,2,,(B2)상선승강장 시점측,125,80,지하2층,지하1층
서울교통공사,1호선,신설동,3,,(B2)하선승강장 시점측,125,80,지하2층,지하1층
서울교통공사,1호선,신설동,4,,(B1)대합실 연결통로,125,80,지하1층,지하1층
서울교통공사,1호선,신설동,5,,(B1)대합실 연결통로,125,80,지하1층,지하1층
서울교통공사,1호선,청량리(서울시립대입구),1,,(B2)제기동측 승강장,125,80,지하2층,지하1층
서울교통공사,1호선,청량리(서울시립대입구),2,,(B2)섬식(상)8-2,125,110,지하2층,지하1층
서울교통공사,2호선,한양대,1,,(F1)섬식(외) 8-2,125,110,지상1층,지상2층
서울교통공사,2호선,용답,1,,(F1)섬식(상) 1-4,125,80,지상1층,지상2층
서울교통공사,2호선,신설동,1,,(B1)10번 입출입구,125,110,지하1층,지상1층
서울교통공사,2호선,신설동,2,,(B2)외선승강장 시점측(상선),125,80,지하2층,지하1층
서울교통공사,2호선,신설동,3,,(B2)내선승강장 시점측(하선),125,80,지하2층,지하1층
서울교통공사,2호선,신설동,4,,(B2)용두방향 승강장,125,80,지하2층,지하1층
서울교통공사,2호선,신설동,5,,(B1)환승통로 2호선측,125,80,지하1층,지하1층
서울교통공사,2호선,신설동,6,,(B1)환승통로 1호선측,125,80,지하1층,지하1층
서울교통공사,2호선,잠실(송파구청),1,,(B1)상가측 연결계단,125,80,지하1층,지하1층
서울교통공사,2호선,삼성(무역센터),1,,(B1) 코액스측 연결계단,125,80,지하1층,지하1층
서울교통공사,2호선,신정네거리,1,,(B2)2번 계단,125,80,지하2층,지하3층
서울교통공사,2호선,용답,2,,(F1)성수측 승강장,125,80,지상1층,지상2층
서울교통공사,3호선,고속터미널,1,,대합실 중앙,1250,800,지하2층,지하1층
서울교통공사,3호선,고속터미널,2,,B2층 대합실 중앙,,,지하2층,지하1층
서울교통공사,3호선,교대(법원·검찰청),1,12,12번 출구,1250,800,지하1층,지상1층
서울교통공사,3호선,교대(법원·검찰청),2,,B1층 2/3호선 연결 계단,,,지하1층,지하1층
서울교통공사,3호선,종로3가,1,,,1250,800,지하4층,지하3층
서울교통공사,3호선,종로3가,2,,,1250,800,지하3층,지하2층
서울교통공사,3호선,종로3가,3,,,1250,800,지하2층,지하1층
서울교통공사,3호선,종로3가,4,,안국역측 승강장,,,지하4층,지하3층
서울교통공사,3호선,종로3가,5,,을지3가측 2-3층,,,지하3층,지하2층
서울교통공사,3호선,종로3가,6,,7번 출입구,,,지하1층,
서울교통공사,3호선,종로3가,7,,을지3가측 1-2층,,,지하2층,지하1층
서울교통공사,4호선,상계,1,,(F2)상행 3-1,125,110,지상2층,지상3층
서울교통공사,4호선,상계,2,,(F2)하행 8-3,125,110,지상2층,지상3층
서울교통공사,4호선,창동,1,,(F2)2번출입구 1호선 연결통로,125,80,지상2층,지상3층
서울교통공사,4호선,창동,2,,(F1)1호선 상선측 승강장,125,80,지상1층,지상3층
서울교통공사,4호선,창동,3,,(F1)1호선 하선측 승강장,125,80,지상1층,지상3층
서울교통공사,4호선,창동,4,,(F2)1번출입구 1호선 연결통로,125,80,지상2층,지상3층
서울교통공사,4호선,동대문,1,,(환승통로환승통로)1/4호선(환승통로),125,94,,
서울교통공사,4호선,이촌(국립중앙박물관),1,,(환승통로환승통로)국철 연결통로,125,80,,
서울교통공사,4호선,사당,1,,(B1)2/4호선대합실연결통로,125,80,지하1층,지하1층
