연번,호선,역명,운임_비운임지역,역무실내_역무실외
1,2,시청(2),운임,단독
2,2,신설동(2),운임,역무실경유
3,2,신촌,비운임,단독
4,4,동대문역사문화(4),비운임,역무실경유
5,2,성수,운임,단독
6,2,강변,운임,단독
7,2,잠실,비운임,단독
8,2,삼성,비운임,단독
9,2,강남,운임,단독
10,2,신림,운임,단독
11,2,대림,운임,단독
12,2,영등포구청,운임,단독
13,3,구파발,비운임,단독
14,3,독립문,비운임,역무실경유
15,1,종로3가(1),비운임,단독
16,3,옥수,운임,단독
17,3,고속터미널,운임,단독
18,3,양재,비운임,단독
19,3,도곡,운임,단독
20,4,노원(4),비운임,단독
21,4,미아사거리,비운임,역무실경유
22,4,길음,비운임,단독
23,1,동대문(1),비운임,단독
24,4,서울(4),비운임,단독
25,4,이촌,운임,단독
26,4,사당(4),운임,역무실경유
27,5,김포공항,비운임,역무실경유
28,5,우장산,비운임,단독
29,5,까치산,운임,단독
30,5,목동,운임,역무실경유
31,5,영등포구청,비운임,역무실경유
32,5,신길,운임,역무실경유
33,5,여의도,비운임,역무실경유
34,5,여의나루,운임,역무실경유
35,5,공덕,비운임,역무실경유
36,5,충정로,비운임,역무실경유
37,5,광화문,비운임,단독
38,5,동대문역사문화공원,비운임,단독
39,5,청구,비운임,역무실경유
40,5,왕십리,비운임,역무실경유
41,5,답십리,비운임,단독
42,5,군자,운임,역무실경유
43,5,아차산,운임,역무실경유
44,5,천호,운임,역무실경유
45,5,강동,비운임,역무실경유
46,5,고덕,운임,단독
47,5,강일,비운임,단독
48,5,미사,비운임,단독
49,5,하남풍산,비운임,단독
50,5,하남시청,비운임,단독
51,5,하남검단산,비운임,단독
52,5,올림픽공원,운임,역무실경유
53,5,거여,운임,단독
54,6,응암,운임,단독
55,6,불광,운임,단독
56,6,월드컵경기장,운임,단독
57,6,합정,운임,역무실경유
58,6,대흥,운임,역무실경유
59,6,삼각지,비운임,단독
60,6,이태원,운임,역무실경유
61,6,약수,운임,단독
62,6,동묘앞,운임,단독
63,6,안암,운임,역무실경유
64,6,상월곡,운임,단독
65,7,수락산,비운임,역무실경유
66,7,노원,운임,역무실경유
67,7,하계,비운임,단독
68,7,태릉입구,운임,역무실경유
69,7,상봉,비운임,역무실경유
70,7,어린이대공원,비운임,역무실경유
71,7,뚝섬유원지,운임,단독
72,7,논현,운임,역무실경유
73,7,고속터미널,운임,역무실경유
74,7,이수,운임,역무실경유
75,7,가산디지털단지,운임,역무실경유
76,7,대림,운임,역무실경유
77,7,광명사거리,비운임,역무실경유
78,7,온수,비운임,역무실경유
79,8,몽촌토성,운임,역무실경유
80,8,잠실,비운임,역무실경유
81,8,가락시장,비운임,단독
82,8,장지,비운임,단독
83,8,남위례,비운임,단독
84,8,남한산성입구,운임,역무실경유
85,8,모란,운임,역무실경유
